P_net_W,T_in_ref_blk_K,p_high_Pa,PR,T_cold_set_K,delta,load,T_HTF_in_K,T_amb_input_K
115089717.58,1243.32,24907667.57,2.98,812.67,24.74,0.61,1218.26,289.07
115089717.58,1243.32,24907667.57,2.98,812.67,24.74,0.74,1213.83,312.62
115089717.58,1243.32,24907667.57,2.98,812.67,24.74,0.97,1202.95,275.16
115089717.58,1243.32,24907667.57,2.98,812.67,24.74,0.68,1207.94,267.63
146788816.39,1246.05,24006454.14,2.88,803.04,64.95,0.98,1175.04,269.94
146788816.39,1246.05,24006454.14,2.88,803.04,64.95,1.02,1179.46,292.72
146788816.39,1246.05,24006454.14,2.88,803.04,64.95,0.72,1177.62,303.81
146788816.39,1246.05,24006454.14,2.88,803.04,64.95,0.58,1167.19,271.87
146788816.39,1246.05,24006454.14,2.88,803.04,64.95,0.85,1162.57,277.94
146788816.39,1246.05,24006454.14,2.88,803.04,64.95,0.65,1163.82,315.07
146788816.39,1246.05,24006454.14,2.88,803.04,64.95,0.51,1168.84,310.66
146788816.39,1246.05,24006454.14,2.88,803.04,64.95,0.83,1172.55,285.05
22973382.29,1189.04,24101980.52,2.91,807.94,83.79,0.56,1104.98,307.14
22973382.29,1189.04,24101980.52,2.91,807.94,83.79,0.98,1090.06,298.17
22973382.29,1189.04,24101980.52,2.91,807.94,83.79,1.04,1090.61,269.29
22973382.29,1189.04,24101980.52,2.91,807.94,83.79,0.59,1096.91,282.35
22973382.29,1189.04,24101980.52,2.91,807.94,83.79,0.82,1087.32,285.81
22973382.29,1189.04,24101980.52,2.91,807.94,83.79,0.76,1093.72,292.58
22973382.29,1189.04,24101980.52,2.91,807.94,83.79,0.88,1098.88,311.52
22973382.29,1189.04,24101980.52,2.91,807.94,83.79,0.65,1102.37,276.45
78580750.22,1087.16,24191021.66,2.8,828.51,41.38,0.86,1042.92,265.77
78580750.22,1087.16,24191021.66,2.8,828.51,41.38,0.69,1030.61,287.19
78580750.22,1087.16,24191021.66,2.8,828.51,41.38,0.96,1034.57,303.81
78580750.22,1087.16,24191021.66,2.8,828.51,41.38,1.05,1039.11,309.97
78580750.22,1087.16,24191021.66,2.8,828.51,41.38,0.61,1045.23,296.54
78580750.22,1087.16,24191021.66,2.8,828.51,41.38,0.56,1026.87,271.99
78580750.22,1087.16,24191021.66,2.8,828.51,41.38,0.84,1037.95,281.21
78580750.22,1087.16,24191021.66,2.8,828.51,41.38,0.75,1031.76,312.17
10153935.16,1091.47,24029192.95,2.8,823.76,85.06,0.78,988.23,277.18
10153935.16,1091.47,24029192.95,2.8,823.76,85.06,0.91,995.32,313.24
10153935.16,1091.47,24029192.95,2.8,823.76,85.06,0.66,1005.36,285.9
10153935.16,1091.47,24029192.95,2.8,823.76,85.06,0.57,1003.25,265.7
10153935.16,1091.47,24029192.95,2.8,823.76,85.06,0.71,990.78,299.95
10153935.16,1091.47,24029192.95,2.8,823.76,85.06,0.5,996.89,294.39
10153935.16,1091.47,24029192.95,2.8,823.76,85.06,0.97,991.9,274.84
10153935.16,1091.47,24029192.95,2.8,823.76,85.06,1.04,999.2,305.25
122003053.79,1039.51,24027590.56,2.81,836.82,57.25,0.86,981.39,302.01
122003053.79,1039.51,24027590.56,2.81,836.82,57.25,0.65,979.42,282.45
122003053.79,1039.51,24027590.56,2.81,836.82,57.25,1.01,974.51,293.42
122003053.79,1039.51,24027590.56,2.81,836.82,57.25,0.56,967.17,269.87
122003053.79,1039.51,24027590.56,2.81,836.82,57.25,0.57,968.59,287.67
122003053.79,1039.51,24027590.56,2.81,836.82,57.25,0.91,962.72,304.77
122003053.79,1039.51,24027590.56,2.81,836.82,57.25,0.74,971.06,273.89
122003053.79,1039.51,24027590.56,2.81,836.82,57.25,0.84,976.37,316.66
100070120.18,1121.94,24238921.64,2.91,833.08,92.92,0.61,1009.14,275.64
100070120.18,1121.94,24238921.64,2.91,833.08,92.92,0.89,1018.29,298.51
100070120.18,1121.94,24238921.64,2.91,833.08,92.92,0.69,1014.23,289.25
100070120.18,1121.94,24238921.64,2.91,833.08,92.92,0.73,1013.43,310.43
100070120.18,1121.94,24238921.64,2.91,833.08,92.92,0.8,1022.34,277.25
100070120.18,1121.94,24238921.64,2.91,833.08,92.92,0.56,1028.77,317.55
100070120.18,1121.94,24238921.64,2.91,833.08,92.92,1.0,1020.88,269.4
100070120.18,1121.94,24238921.64,2.91,833.08,92.92,0.95,1026.16,295.09
84894347.32,1170.85,24668753.16,2.82,843.61,64.43,0.55,1105.82,295.53
84894347.32,1170.85,24668753.16,2.82,843.61,64.43,0.66,1087.71,312.32
84894347.32,1170.85,24668753.16,2.82,843.61,64.43,0.63,1091.75,285.76
84894347.32,1170.85,24668753.16,2.82,843.61,64.43,0.97,1097.52,307.17
84894347.32,1170.85,24668753.16,2.82,843.61,64.43,0.88,1094.05,282.86
84894347.32,1170.85,24668753.16,2.82,843.61,64.43,1.02,1101.93,265.96
84894347.32,1170.85,24668753.16,2.82,843.61,64.43,0.76,1100.06,298.23
84894347.32,1170.85,24668753.16,2.82,843.61,64.43,0.8,1089.65,271.65
84210100.57,1265.63,24828957.33,2.91,844.9,85.72,0.89,1170.24,281.64
84210100.57,1265.63,24828957.33,2.91,844.9,85.72,0.8,1163.28,310.81
84210100.57,1265.63,24828957.33,2.91,844.9,85.72,0.51,1161.55,275.4
84210100.57,1265.63,24828957.33,2.91,844.9,85.72,0.71,1169.75,269.75
84210100.57,1265.63,24828957.33,2.91,844.9,85.72,0.93,1177.15,285.29
84210100.57,1265.63,24828957.33,2.91,844.9,85.72,0.61,1166.32,295.31
84210100.57,1265.63,24828957.33,2.91,844.9,85.72,0.69,1177.55,299.52
84210100.57,1265.63,24828957.33,2.91,844.9,85.72,1.04,1172.94,313.16
113971172.77,1109.37,24535476.12,2.82,848.61,64.1,0.51,1034.6,275.15
113971172.77,1109.37,24535476.12,2.82,848.61,64.1,0.91,1028.2,281.2
113971172.77,1109.37,24535476.12,2.82,848.61,64.1,0.94,1035.49,300.56
113971172.77,1109.37,24535476.12,2.82,848.61,64.1,0.73,1044.1,265.45
113971172.77,1109.37,24535476.12,2.82,848.61,64.1,0.66,1040.11,291.78
113971172.77,1109.37,24535476.12,2.82,848.61,64.1,0.64,1032.51,317.24
113971172.77,1109.37,24535476.12,2.82,848.61,64.1,0.79,1025.79,309.04
113971172.77,1109.37,24535476.12,2.82,848.61,64.1,1.05,1040.5,286.13
35788593.36,1025.42,24365532.84,2.76,798.73,95.23,0.8,921.52,293.86
35788593.36,1025.42,24365532.84,2.76,798.73,95.23,0.54,916.73,264.52
35788593.36,1025.42,24365532.84,2.76,798.73,95.23,1.03,918.66,310.28
35788593.36,1025.42,24365532.84,2.76,798.73,95.23,0.59,923.4,311.34
35788593.36,1025.42,24365532.84,2.76,798.73,95.23,0.76,926.12,271.14
35788593.36,1025.42,24365532.84,2.76,798.73,95.23,0.88,914.69,278.96
35788593.36,1025.42,24365532.84,2.76,798.73,95.23,0.98,928.39,299.42
35788593.36,1025.42,24365532.84,2.76,798.73,95.23,0.65,910.77,289.18
90719372.71,1028.42,24593900.02,2.76,851.41,27.89,0.77,998.43,281.86
90719372.71,1028.42,24593900.02,2.76,851.41,27.89,0.93,987.89,272.6
90719372.71,1028.42,24593900.02,2.76,851.41,27.89,0.66,992.2,316.5
90719372.71,1028.42,24593900.02,2.76,851.41,27.89,0.55,984.97,289.43
90719372.71,1028.42,24593900.02,2.76,851.41,27.89,0.89,982.05,310.63
90719372.71,1028.42,24593900.02,2.76,851.41,27.89,1.03,990.44,293.76
90719372.71,1028.42,24593900.02,2.76,851.41,27.89,0.62,995.99,269.18
90719372.71,1028.42,24593900.02,2.76,851.41,27.89,0.81,994.25,300.7
42679499.83,1253.62,24940447.39,2.91,817.69,55.1,0.73,1193.27,292.33
42679499.83,1253.62,24940447.39,2.91,817.69,55.1,0.87,1185.22,288.0
42679499.83,1253.62,24940447.39,2.91,817.69,55.1,0.81,1179.93,281.15
42679499.83,1253.62,24940447.39,2.91,817.69,55.1,0.63,1182.13,309.94
42679499.83,1253.62,24940447.39,2.91,817.69,55.1,0.51,1196.85,271.77
42679499.83,1253.62,24940447.39,2.91,817.69,55.1,1.03,1186.72,264.96
42679499.83,1253.62,24940447.39,2.91,817.69,55.1,0.66,1195.14,316.76
42679499.83,1253.62,24940447.39,2.91,817.69,55.1,0.96,1188.58,301.14
33086225.86,1232.33,24776450.28,2.83,847.36,92.2,0.87,1128.82,272.37
33086225.86,1232.33,24776450.28,2.83,847.36,92.2,0.54,1138.28,268.97
33086225.86,1232.33,24776450.28,2.83,847.36,92.2,1.04,1124.47,282.63
33086225.86,1232.33,24776450.28,2.83,847.36,92.2,0.96,1137.46,315.98
33086225.86,1232.33,24776450.28,2.83,847.36,92.2,0.75,1125.19,286.57
33086225.86,1232.33,24776450.28,2.83,847.36,92.2,0.61,1121.25,297.13
33086225.86,1232.33,24776450.28,2.83,847.36,92.2,0.68,1134.78,304.25
33086225.86,1232.33,24776450.28,2.83,847.36,92.2,0.83,1130.43,308.49
32471089.56,1044.2,24532287.73,2.88,807.63,31.46,0.65,1012.65,315.36
32471089.56,1044.2,24532287.73,2.88,807.63,31.46,0.6,996.32,303.66
32471089.56,1044.2,24532287.73,2.88,807.63,31.46,0.77,999.37,311.1
32471089.56,1044.2,24532287.73,2.88,807.63,31.46,1.04,1005.48,296.03
32471089.56,1044.2,24532287.73,2.88,807.63,31.46,0.86,994.38,286.82
32471089.56,1044.2,24532287.73,2.88,807.63,31.46,0.81,1000.46,275.7
32471089.56,1044.2,24532287.73,2.88,807.63,31.46,0.55,1009.89,280.04
32471089.56,1044.2,24532287.73,2.88,807.63,31.46,0.97,1004.55,267.36
57494653.21,1129.83,24124428.21,2.87,817.31,88.57,0.82,1036.07,264.89
57494653.21,1129.83,24124428.21,2.87,817.31,88.57,0.61,1026.98,291.8
57494653.21,1129.83,24124428.21,2.87,817.31,88.57,1.04,1024.15,299.65
57494653.21,1129.83,24124428.21,2.87,817.31,88.57,0.67,1029.18,314.2
57494653.21,1129.83,24124428.21,2.87,817.31,88.57,0.9,1039.07,278.7
57494653.21,1129.83,24124428.21,2.87,817.31,88.57,0.56,1036.62,276.62
57494653.21,1129.83,24124428.21,2.87,817.31,88.57,0.73,1021.5,287.84
57494653.21,1129.83,24124428.21,2.87,817.31,88.57,0.92,1032.96,306.78
14626593.7,1127.56,24299990.99,2.89,802.84,30.56,0.85,1087.44,264.52
14626593.7,1127.56,24299990.99,2.89,802.84,30.56,1.03,1094.03,274.11
14626593.7,1127.56,24299990.99,2.89,802.84,30.56,0.56,1080.25,314.62
14626593.7,1127.56,24299990.99,2.89,802.84,30.56,0.61,1089.93,294.92
14626593.7,1127.56,24299990.99,2.89,802.84,30.56,0.74,1083.15,310.21
14626593.7,1127.56,24299990.99,2.89,802.84,30.56,0.96,1078.81,285.18
14626593.7,1127.56,24299990.99,2.89,802.84,30.56,0.66,1086.83,282.86
14626593.7,1127.56,24299990.99,2.89,802.84,30.56,0.83,1094.75,298.73
96304003.63,1129.37,24479097.2,2.82,813.87,20.59,0.57,1091.51,272.44
96304003.63,1129.37,24479097.2,2.82,813.87,20.59,0.78,1104.98,267.72
96304003.63,1129.37,24479097.2,2.82,813.87,20.59,0.51,1100.75,296.87
96304003.63,1129.37,24479097.2,2.82,813.87,20.59,0.96,1102.17,280.42
96304003.63,1129.37,24479097.2,2.82,813.87,20.59,0.75,1096.72,285.47
96304003.63,1129.37,24479097.2,2.82,813.87,20.59,0.7,1095.88,312.7
96304003.63,1129.37,24479097.2,2.82,813.87,20.59,1.0,1106.65,302.78
96304003.63,1129.37,24479097.2,2.82,813.87,20.59,0.91,1091.04,307.58
135827002.53,1217.17,24761976.56,2.82,814.91,30.25,0.65,1184.85,270.92
135827002.53,1217.17,24761976.56,2.82,814.91,30.25,0.62,1173.12,281.51
135827002.53,1217.17,24761976.56,2.82,814.91,30.25,1.0,1174.76,312.03
135827002.53,1217.17,24761976.56,2.82,814.91,30.25,0.75,1181.63,293.54
135827002.53,1217.17,24761976.56,2.82,814.91,30.25,0.93,1182.94,304.19
135827002.53,1217.17,24761976.56,2.82,814.91,30.25,0.55,1169.34,309.66
135827002.53,1217.17,24761976.56,2.82,814.91,30.25,0.82,1170.2,289.57
135827002.53,1217.17,24761976.56,2.82,814.91,30.25,0.88,1179.37,268.82
141274858.49,1114.27,24452442.45,2.74,819.35,51.97,0.61,1061.86,296.85
141274858.49,1114.27,24452442.45,2.74,819.35,51.97,0.84,1052.85,263.29
141274858.49,1114.27,24452442.45,2.74,819.35,51.97,0.94,1043.59,302.93
141274858.49,1114.27,24452442.45,2.74,819.35,51.97,0.89,1051.34,311.55
141274858.49,1114.27,24452442.45,2.74,819.35,51.97,1.04,1047.64,278.45
141274858.49,1114.27,24452442.45,2.74,819.35,51.97,0.7,1054.93,305.03
141274858.49,1114.27,24452442.45,2.74,819.35,51.97,0.51,1047.13,272.41
141274858.49,1114.27,24452442.45,2.74,819.35,51.97,0.76,1058.91,284.19
148283510.62,1243.52,24858366.46,2.93,802.02,62.2,0.86,1165.01,288.41
148283510.62,1243.52,24858366.46,2.93,802.02,62.2,0.84,1171.33,316.19
148283510.62,1243.52,24858366.46,2.93,802.02,62.2,0.69,1166.97,277.14
148283510.62,1243.52,24858366.46,2.93,802.02,62.2,0.76,1161.8,272.88
148283510.62,1243.52,24858366.46,2.93,802.02,62.2,0.52,1178.9,302.45
148283510.62,1243.52,24858366.46,2.93,802.02,62.2,0.63,1170.69,309.52
148283510.62,1243.52,24858366.46,2.93,802.02,62.2,1.01,1178.19,264.53
148283510.62,1243.52,24858366.46,2.93,802.02,62.2,0.95,1175.93,293.54
25240029.51,1246.93,24187775.25,2.89,812.53,24.83,0.9,1204.3,296.68
25240029.51,1246.93,24187775.25,2.89,812.53,24.83,0.77,1219.71,275.33
25240029.51,1246.93,24187775.25,2.89,812.53,24.83,0.92,1208.8,313.56
25240029.51,1246.93,24187775.25,2.89,812.53,24.83,0.57,1215.97,280.01
25240029.51,1246.93,24187775.25,2.89,812.53,24.83,0.64,1212.56,302.57
25240029.51,1246.93,24187775.25,2.89,812.53,24.83,0.82,1210.31,268.77
25240029.51,1246.93,24187775.25,2.89,812.53,24.83,0.59,1206.85,287.01
25240029.51,1246.93,24187775.25,2.89,812.53,24.83,1.04,1219.47,305.67
99393535.33,1214.39,24406106.14,3.0,828.08,60.59,0.8,1134.83,282.97
99393535.33,1214.39,24406106.14,3.0,828.08,60.59,0.51,1148.2,299.57
99393535.33,1214.39,24406106.14,3.0,828.08,60.59,1.0,1151.88,276.46
99393535.33,1214.39,24406106.14,3.0,828.08,60.59,0.92,1149.68,307.82
99393535.33,1214.39,24406106.14,3.0,828.08,60.59,0.87,1142.59,288.59
99393535.33,1214.39,24406106.14,3.0,828.08,60.59,0.74,1137.92,314.51
99393535.33,1214.39,24406106.14,3.0,828.08,60.59,0.67,1145.79,264.41
99393535.33,1214.39,24406106.14,3.0,828.08,60.59,0.6,1139.31,297.04
121929462.15,1080.95,24086256.35,2.89,850.78,90.19,0.88,990.6,282.21
121929462.15,1080.95,24086256.35,2.89,850.78,90.19,0.67,980.31,297.76
121929462.15,1080.95,24086256.35,2.89,850.78,90.19,0.53,972.13,306.68
121929462.15,1080.95,24086256.35,2.89,850.78,90.19,0.82,983.67,271.17
121929462.15,1080.95,24086256.35,2.89,850.78,90.19,0.71,974.09,311.92
121929462.15,1080.95,24086256.35,2.89,850.78,90.19,0.59,987.28,289.59
121929462.15,1080.95,24086256.35,2.89,850.78,90.19,1.05,978.15,267.11
121929462.15,1080.95,24086256.35,2.89,850.78,90.19,0.95,982.24,291.04
20377632.93,1129.67,24725010.93,2.84,838.91,57.99,0.71,1062.39,299.77
20377632.93,1129.67,24725010.93,2.84,838.91,57.99,1.0,1067.83,294.63
20377632.93,1129.67,24725010.93,2.84,838.91,57.99,0.96,1065.97,272.24
20377632.93,1129.67,24725010.93,2.84,838.91,57.99,0.51,1053.94,317.89
20377632.93,1129.67,24725010.93,2.84,838.91,57.99,0.68,1055.73,279.82
20377632.93,1129.67,24725010.93,2.84,838.91,57.99,0.82,1057.19,307.62
20377632.93,1129.67,24725010.93,2.84,838.91,57.99,0.85,1061.18,289.27
20377632.93,1129.67,24725010.93,2.84,838.91,57.99,0.63,1069.63,263.98
85621526.65,1243.15,24571125.32,2.83,850.61,42.05,0.8,1182.82,312.93
85621526.65,1243.15,24571125.32,2.83,850.61,42.05,0.51,1192.59,281.66
85621526.65,1243.15,24571125.32,2.83,850.61,42.05,0.73,1198.6,291.77
85621526.65,1243.15,24571125.32,2.83,850.61,42.05,0.6,1188.74,310.88
85621526.65,1243.15,24571125.32,2.83,850.61,42.05,0.95,1200.24,287.91
85621526.65,1243.15,24571125.32,2.83,850.61,42.05,0.7,1185.08,265.27
85621526.65,1243.15,24571125.32,2.83,850.61,42.05,1.0,1188.42,297.85
85621526.65,1243.15,24571125.32,2.83,850.61,42.05,0.91,1194.69,273.92
102448586.34,1167.78,24138279.12,2.75,843.65,97.56,0.75,1069.02,282.22
102448586.34,1167.78,24138279.12,2.75,843.65,97.56,0.57,1053.84,301.3
102448586.34,1167.78,24138279.12,2.75,843.65,97.56,0.59,1067.04,315.38
102448586.34,1167.78,24138279.12,2.75,843.65,97.56,0.99,1061.71,294.14
102448586.34,1167.78,24138279.12,2.75,843.65,97.56,0.82,1064.41,305.98
102448586.34,1167.78,24138279.12,2.75,843.65,97.56,0.85,1051.53,290.11
102448586.34,1167.78,24138279.12,2.75,843.65,97.56,0.93,1056.7,263.32
102448586.34,1167.78,24138279.12,2.75,843.65,97.56,0.67,1059.24,275.43
51796810.34,1220.45,24578143.96,2.79,848.21,73.13,0.67,1129.29,272.85
51796810.34,1220.45,24578143.96,2.79,848.21,73.13,1.05,1144.31,284.04
51796810.34,1220.45,24578143.96,2.79,848.21,73.13,0.92,1133.88,307.46
51796810.34,1220.45,24578143.96,2.79,848.21,73.13,0.59,1138.43,312.89
51796810.34,1220.45,24578143.96,2.79,848.21,73.13,0.74,1145.03,276.91
51796810.34,1220.45,24578143.96,2.79,848.21,73.13,0.53,1136.23,265.31
51796810.34,1220.45,24578143.96,2.79,848.21,73.13,0.89,1140.55,301.87
51796810.34,1220.45,24578143.96,2.79,848.21,73.13,0.79,1131.11,292.4
66821923.29,1231.4,24653509.54,2.99,818.24,57.48,0.55,1170.82,292.06
66821923.29,1231.4,24653509.54,2.99,818.24,57.48,1.01,1157.79,309.18
66821923.29,1231.4,24653509.54,2.99,818.24,57.48,0.58,1163.64,283.63
66821923.29,1231.4,24653509.54,2.99,818.24,57.48,0.94,1173.11,299.25
66821923.29,1231.4,24653509.54,2.99,818.24,57.48,0.89,1159.28,274.27
66821923.29,1231.4,24653509.54,2.99,818.24,57.48,0.68,1156.03,266.54
66821923.29,1231.4,24653509.54,2.99,818.24,57.48,0.84,1166.12,288.5
66821923.29,1231.4,24653509.54,2.99,818.24,57.48,0.74,1167.5,312.99
81839792.25,1258.76,24450111.97,2.86,803.7,67.21,0.94,1186.13,264.44
81839792.25,1258.76,24450111.97,2.86,803.7,67.21,0.98,1187.4,296.76
81839792.25,1258.76,24450111.97,2.86,803.7,67.21,0.79,1173.93,275.36
81839792.25,1258.76,24450111.97,2.86,803.7,67.21,0.5,1177.22,290.27
81839792.25,1258.76,24450111.97,2.86,803.7,67.21,0.58,1189.1,313.24
81839792.25,1258.76,24450111.97,2.86,803.7,67.21,0.76,1175.96,300.05
81839792.25,1258.76,24450111.97,2.86,803.7,67.21,0.84,1182.03,304.5
81839792.25,1258.76,24450111.97,2.86,803.7,67.21,0.69,1180.09,278.9
121341366.87,1235.04,24844739.1,2.85,816.49,20.15,0.72,1203.45,301.54
121341366.87,1235.04,24844739.1,2.85,816.49,20.15,0.84,1207.56,269.61
121341366.87,1235.04,24844739.1,2.85,816.49,20.15,0.92,1197.43,283.72
121341366.87,1235.04,24844739.1,2.85,816.49,20.15,0.57,1196.08,294.95
121341366.87,1235.04,24844739.1,2.85,816.49,20.15,0.69,1213.21,288.75
121341366.87,1235.04,24844739.1,2.85,816.49,20.15,1.02,1210.58,304.59
121341366.87,1235.04,24844739.1,2.85,816.49,20.15,0.88,1201.38,314.06
121341366.87,1235.04,24844739.1,2.85,816.49,20.15,0.51,1206.7,271.4
88601402.42,1168.06,24261606.79,2.93,830.23,44.92,0.8,1112.01,263.57
88601402.42,1168.06,24261606.79,2.93,830.23,44.92,0.94,1104.5,297.66
88601402.42,1168.06,24261606.79,2.93,830.23,44.92,0.62,1106.23,287.78
88601402.42,1168.06,24261606.79,2.93,830.23,44.92,0.54,1117.0,276.16
88601402.42,1168.06,24261606.79,2.93,830.23,44.92,0.74,1122.55,281.45
88601402.42,1168.06,24261606.79,2.93,830.23,44.92,1.05,1119.36,307.26
88601402.42,1168.06,24261606.79,2.93,830.23,44.92,0.65,1108.82,314.67
88601402.42,1168.06,24261606.79,2.93,830.23,44.92,0.89,1114.63,292.19
36342855.76,1191.96,24264520.38,2.79,837.72,32.99,0.8,1144.34,273.47
36342855.76,1191.96,24264520.38,2.79,837.72,32.99,0.67,1157.23,300.78
36342855.76,1191.96,24264520.38,2.79,837.72,32.99,0.99,1146.73,314.44
36342855.76,1191.96,24264520.38,2.79,837.72,32.99,0.58,1156.3,278.84
36342855.76,1191.96,24264520.38,2.79,837.72,32.99,0.9,1139.81,307.47
36342855.76,1191.96,24264520.38,2.79,837.72,32.99,0.53,1143.72,290.04
36342855.76,1191.96,24264520.38,2.79,837.72,32.99,0.75,1149.42,296.57
36342855.76,1191.96,24264520.38,2.79,837.72,32.99,0.96,1153.47,269.37
137241627.24,1185.37,24507991.67,2.92,852.2,34.61,0.87,1138.89,280.58
137241627.24,1185.37,24507991.67,2.92,852.2,34.61,0.52,1131.01,288.32
137241627.24,1185.37,24507991.67,2.92,852.2,34.61,1.04,1136.29,302.83
137241627.24,1185.37,24507991.67,2.92,852.2,34.61,0.97,1150.01,291.57
137241627.24,1185.37,24507991.67,2.92,852.2,34.61,0.66,1133.52,275.51
137241627.24,1185.37,24507991.67,2.92,852.2,34.61,0.81,1141.57,316.5
137241627.24,1185.37,24507991.67,2.92,852.2,34.61,0.73,1144.98,266.71
137241627.24,1185.37,24507991.67,2.92,852.2,34.61,0.57,1148.1,310.2
77235235.56,1027.06,24860352.35,2.93,805.85,23.47,0.62,999.28,316.32
77235235.56,1027.06,24860352.35,2.93,805.85,23.47,0.65,992.56,265.55
77235235.56,1027.06,24860352.35,2.93,805.85,23.47,0.9,986.38,284.92
