T_in_ref_blk_K,p_high_Pa,PR,T_cold_set_K,delta,load,T_HTF_in_K,T_amb_input_K
1043.07,24681949.4,3.84,277.03,190.64,0.76,1040.82,273.18
1043.07,24681949.4,3.84,277.03,190.64,0.85,1026.5,291.57
1043.07,24681949.4,3.84,277.03,190.64,0.9,1032.81,316.82
1451.2,24089059.75,3.29,325.96,235.21,0.66,1447.37,283.49
1451.2,24089059.75,3.29,325.96,235.21,1.02,1442.93,273.39
1451.2,24089059.75,3.29,325.96,235.21,0.8,1436.29,304.45
1451.2,24089059.75,3.29,325.96,235.21,0.73,1431.91,268.4
1451.2,24089059.75,3.29,325.96,235.21,0.57,1439.12,294.52
1451.2,24089059.75,3.29,325.96,235.21,0.94,1451.07,316.37
1196.56,24798425.46,2.91,289.11,244.98,0.5,1176.59,276.12
1196.56,24798425.46,2.91,289.11,244.98,0.93,1180.47,303.69
1196.56,24798425.46,2.91,289.11,244.98,0.74,1195.44,269.53
1196.56,24798425.46,2.91,289.11,244.98,0.64,1183.97,292.32
1196.56,24798425.46,2.91,289.11,244.98,0.83,1189.77,316.91
1196.56,24798425.46,2.91,289.11,244.98,1.0,1192.26,288.29
1173.15,24021608.21,3.41,295.54,82.58,0.99,1167.56,296.84
1173.15,24021608.21,3.41,295.54,82.58,0.61,1159.46,313.38
1173.15,24021608.21,3.41,295.54,82.58,0.86,1163.88,271.34
1173.15,24021608.21,3.41,295.54,82.58,0.75,1172.57,307.52
1173.15,24021608.21,3.41,295.54,82.58,0.95,1154.56,276.53
1173.15,24021608.21,3.41,295.54,82.58,0.58,1161.05,288.13
1027.56,24004859.63,3.53,349.58,56.48,0.92,1009.93,276.57
1027.56,24004859.63,3.53,349.58,56.48,1.01,1015.26,317.01
1027.56,24004859.63,3.53,349.58,56.48,0.74,1026.31,296.49
1027.56,24004859.63,3.53,349.58,56.48,0.61,1011.62,283.94
1027.56,24004859.63,3.53,349.58,56.48,0.85,1022.34,270.59
1027.56,24004859.63,3.53,349.58,56.48,0.51,1020.49,301.07
1461.73,24156762.82,3.42,281.54,172.86,0.63,1445.45,300.66
1461.73,24156762.82,3.42,281.54,172.86,0.56,1454.23,269.94
1461.73,24156762.82,3.42,281.54,172.86,1.04,1443.43,290.97
1461.73,24156762.82,3.42,281.54,172.86,0.83,1457.45,273.12
1461.73,24156762.82,3.42,281.54,172.86,0.91,1458.7,309.37
1461.73,24156762.82,3.42,281.54,172.86,0.75,1448.97,281.93
1320.58,24260183.8,3.98,346.89,139.76,0.92,1312.46,274.55
1320.58,24260183.8,3.98,346.89,139.76,0.7,1315.77,310.63
1320.58,24260183.8,3.98,346.89,139.76,0.55,1304.19,306.92
1320.58,24260183.8,3.98,346.89,139.76,0.65,1308.32,268.99
1320.58,24260183.8,3.98,346.89,139.76,0.99,1318.54,297.11
1320.58,24260183.8,3.98,346.89,139.76,0.82,1301.18,284.32
1359.63,24740433.0,3.38,329.28,85.31,0.6,1356.66,295.98
1359.63,24740433.0,3.38,329.28,85.31,0.74,1342.58,280.18
1359.63,24740433.0,3.38,329.28,85.31,1.01,1343.43,306.5
1359.63,24740433.0,3.38,329.28,85.31,0.87,1350.28,268.58
1359.63,24740433.0,3.38,329.28,85.31,0.56,1348.75,312.88
1359.63,24740433.0,3.38,329.28,85.31,0.81,1355.81,282.52
1443.45,24706098.43,3.05,298.09,214.77,0.6,1442.5,314.21
1443.45,24706098.43,3.05,298.09,214.77,0.8,1432.77,305.96
1443.45,24706098.43,3.05,298.09,214.77,0.52,1424.41,290.67
1443.45,24706098.43,3.05,298.09,214.77,0.7,1426.86,275.78
1443.45,24706098.43,3.05,298.09,214.77,1.02,1435.37,267.82
1443.45,24706098.43,3.05,298.09,214.77,0.93,1437.91,283.65
1317.73,24417548.21,3.75,334.07,43.03,0.55,1303.05,284.05
1317.73,24417548.21,3.75,334.07,43.03,0.82,1307.65,311.48
1317.73,24417548.21,3.75,334.07,43.03,0.92,1298.26,293.36
1317.73,24417548.21,3.75,334.07,43.03,0.64,1310.23,263.65
1317.73,24417548.21,3.75,334.07,43.03,1.01,1314.37,277.58
1317.73,24417548.21,3.75,334.07,43.03,0.73,1317.48,305.15
1294.82,24553786.63,3.95,291.3,51.43,0.55,1290.25,289.63
1294.82,24553786.63,3.95,291.3,51.43,0.71,1280.29,300.85
1294.82,24553786.63,3.95,291.3,51.43,0.89,1293.18,315.02
1294.82,24553786.63,3.95,291.3,51.43,0.61,1283.68,278.38
1294.82,24553786.63,3.95,291.3,51.43,0.99,1276.22,269.21
1294.82,24553786.63,3.95,291.3,51.43,0.87,1287.22,295.58
1350.99,24635196.8,3.87,266.92,68.53,0.89,1345.74,311.06
1350.99,24635196.8,3.87,266.92,68.53,0.73,1334.98,281.88
1350.99,24635196.8,3.87,266.92,68.53,0.52,1332.2,280.94
1350.99,24635196.8,3.87,266.92,68.53,0.86,1342.74,268.11
1350.99,24635196.8,3.87,266.92,68.53,1.05,1340.38,294.79
1350.99,24635196.8,3.87,266.92,68.53,0.62,1350.57,302.36
1263.09,24164537.8,3.9,333.79,155.02,0.82,1254.98,316.87
1263.09,24164537.8,3.9,333.79,155.02,0.53,1243.58,279.26
1263.09,24164537.8,3.9,333.79,155.02,0.6,1253.04,300.46
1263.09,24164537.8,3.9,333.79,155.02,0.93,1257.29,289.0
1263.09,24164537.8,3.9,333.79,155.02,1.0,1249.01,267.46
1263.09,24164537.8,3.9,333.79,155.02,0.73,1262.45,292.53
1271.53,24275033.37,2.76,251.57,159.52,1.01,1262.07,288.82
1271.53,24275033.37,2.76,251.57,159.52,0.58,1266.34,298.08
1271.53,24275033.37,2.76,251.57,159.52,0.84,1256.0,277.44
1271.53,24275033.37,2.76,251.57,159.52,0.68,1259.13,312.49
1271.53,24275033.37,2.76,251.57,159.52,0.88,1271.28,308.88
1271.53,24275033.37,2.76,251.57,159.52,0.61,1253.26,264.13
1307.1,24914753.18,3.65,310.01,219.11,0.91,1301.54,307.83
1307.1,24914753.18,3.65,310.01,219.11,0.84,1287.57,281.99
1307.1,24914753.18,3.65,310.01,219.11,0.65,1300.27,294.59
1307.1,24914753.18,3.65,310.01,219.11,0.73,1295.18,317.33
1307.1,24914753.18,3.65,310.01,219.11,0.53,1293.12,272.18
1307.1,24914753.18,3.65,310.01,219.11,0.96,1306.15,274.43
1374.89,24607775.65,3.07,254.94,106.52,0.75,1364.61,275.19
1374.89,24607775.65,3.07,254.94,106.52,0.81,1369.82,298.41
1374.89,24607775.65,3.07,254.94,106.52,0.51,1358.22,284.57
1374.89,24607775.65,3.07,254.94,106.52,1.04,1372.54,269.7
1374.89,24607775.65,3.07,254.94,106.52,0.62,1364.94,310.64
1374.89,24607775.65,3.07,254.94,106.52,0.95,1358.51,304.3
1470.73,24348996.0,3.46,274.08,29.5,0.58,1451.44,307.63
1470.73,24348996.0,3.46,274.08,29.5,0.61,1463.94,279.23
1470.73,24348996.0,3.46,274.08,29.5,0.78,1458.63,313.2
1470.73,24348996.0,3.46,274.08,29.5,0.88,1466.2,264.74
1470.73,24348996.0,3.46,274.08,29.5,0.96,1468.24,297.17
1470.73,24348996.0,3.46,274.08,29.5,0.71,1455.22,288.67
1406.23,24647824.42,3.31,253.61,217.65,0.86,1389.28,273.95
1406.23,24647824.42,3.31,253.61,217.65,0.94,1392.36,305.94
1406.23,24647824.42,3.31,253.61,217.65,0.55,1394.51,286.74
1406.23,24647824.42,3.31,253.61,217.65,0.72,1400.37,265.62
1406.23,24647824.42,3.31,253.61,217.65,0.6,1396.86,310.48
1406.23,24647824.42,3.31,253.61,217.65,1.01,1403.68,293.02
1137.69,24051530.19,2.83,318.16,78.49,0.71,1122.7,274.71
1137.69,24051530.19,2.83,318.16,78.49,0.86,1125.15,297.11
1137.69,24051530.19,2.83,318.16,78.49,0.61,1134.17,310.28
1137.69,24051530.19,2.83,318.16,78.49,0.55,1137.24,271.41
1137.69,24051530.19,2.83,318.16,78.49,0.97,1118.6,301.47
1137.69,24051530.19,2.83,318.16,78.49,0.91,1131.02,284.39
1410.07,24937329.54,2.94,255.34,165.4,0.61,1405.59,290.47
1410.07,24937329.54,2.94,255.34,165.4,0.7,1394.56,300.8
1410.07,24937329.54,2.94,255.34,165.4,0.57,1398.62,265.26
1410.07,24937329.54,2.94,255.34,165.4,0.83,1402.73,272.63
1410.07,24937329.54,2.94,255.34,165.4,0.9,1408.39,293.61
1410.07,24937329.54,2.94,255.34,165.4,0.99,1391.43,317.52
1340.76,24709076.41,3.04,267.39,198.25,0.63,1334.8,282.53
1340.76,24709076.41,3.04,267.39,198.25,0.88,1323.23,293.2
1340.76,24709076.41,3.04,267.39,198.25,0.74,1332.52,308.21
1340.76,24709076.41,3.04,267.39,198.25,0.58,1327.17,317.65
1340.76,24709076.41,3.04,267.39,198.25,1.03,1328.89,266.16
1340.76,24709076.41,3.04,267.39,198.25,0.86,1340.24,273.15
1356.25,24932884.19,3.39,311.8,103.11,0.98,1337.86,307.73
1356.25,24932884.19,3.39,311.8,103.11,0.79,1343.6,270.95
1356.25,24932884.19,3.39,311.8,103.11,0.63,1342.5,293.15
1356.25,24932884.19,3.39,311.8,103.11,0.87,1356.14,290.48
1356.25,24932884.19,3.39,311.8,103.11,0.72,1348.88,310.93
1356.25,24932884.19,3.39,311.8,103.11,0.51,1349.63,277.76
1364.11,24926265.66,3.71,292.3,126.25,0.78,1347.56,277.16
1364.11,24926265.66,3.71,292.3,126.25,0.75,1361.41,299.61
1364.11,24926265.66,3.71,292.3,126.25,0.66,1355.93,269.54
1364.11,24926265.66,3.71,292.3,126.25,0.92,1359.13,281.65
1364.11,24926265.66,3.71,292.3,126.25,1.0,1344.66,306.29
1364.11,24926265.66,3.71,292.3,126.25,0.54,1352.6,312.21
1392.32,24429864.53,2.86,272.81,228.07,0.68,1372.9,275.11
1392.32,24429864.53,2.86,272.81,228.07,0.7,1383.19,286.5
1392.32,24429864.53,2.86,272.81,228.07,0.97,1378.39,313.36
1392.32,24429864.53,2.86,272.81,228.07,0.82,1381.82,266.11
1392.32,24429864.53,2.86,272.81,228.07,0.93,1388.35,302.91
1392.32,24429864.53,2.86,272.81,228.07,0.53,1390.44,292.81
1192.87,24899536.94,2.89,286.45,166.54,0.77,1186.64,284.06
1192.87,24899536.94,2.89,286.45,166.54,0.96,1182.31,275.29
1192.87,24899536.94,2.89,286.45,166.54,0.65,1183.03,300.93
1192.87,24899536.94,2.89,286.45,166.54,0.84,1174.25,295.73
1192.87,24899536.94,2.89,286.45,166.54,0.93,1179.35,310.13
1192.87,24899536.94,2.89,286.45,166.54,0.52,1189.85,265.24
1346.58,24641261.78,3.34,288.15,247.46,0.76,1343.45,315.94
1346.58,24641261.78,3.34,288.15,247.46,0.87,1329.2,308.64
1346.58,24641261.78,3.34,288.15,247.46,0.51,1333.3,294.07
1346.58,24641261.78,3.34,288.15,247.46,1.02,1339.39,285.44
1346.58,24641261.78,3.34,288.15,247.46,0.6,1340.71,274.38
1346.58,24641261.78,3.34,288.15,247.46,0.78,1331.05,263.96
1411.91,24181660.78,3.07,256.19,119.68,1.01,1402.84,303.15
1411.91,24181660.78,3.07,256.19,119.68,0.52,1396.98,270.46
1411.91,24181660.78,3.07,256.19,119.68,0.83,1407.35,289.89
1411.91,24181660.78,3.07,256.19,119.68,0.73,1399.59,272.88
1411.91,24181660.78,3.07,256.19,119.68,0.95,1392.51,293.62
1411.91,24181660.78,3.07,256.19,119.68,0.68,1411.53,316.77
1423.56,24531381.83,3.56,324.47,186.3,0.99,1412.54,305.57
1423.56,24531381.83,3.56,324.47,186.3,0.61,1418.54,314.0
1423.56,24531381.83,3.56,324.47,186.3,0.58,1409.75,269.15
1423.56,24531381.83,3.56,324.47,186.3,0.84,1405.53,292.4
1423.56,24531381.83,3.56,324.47,186.3,0.88,1423.06,276.47
1423.56,24531381.83,3.56,324.47,186.3,0.77,1413.81,287.65
1466.0,24698539.44,3.09,301.21,79.86,0.55,1448.42,308.73
1466.0,24698539.44,3.09,301.21,79.86,0.96,1465.32,299.55
1466.0,24698539.44,3.09,301.21,79.86,0.77,1461.69,268.09
1466.0,24698539.44,3.09,301.21,79.86,0.63,1456.77,281.12
1466.0,24698539.44,3.09,301.21,79.86,0.81,1449.61,285.32
1466.0,24698539.44,3.09,301.21,79.86,1.02,1453.99,310.73
1225.81,24842247.79,3.32,340.99,204.5,0.61,1221.24,291.11
1225.81,24842247.79,3.32,340.99,204.5,0.51,1209.34,272.41
1225.81,24842247.79,3.32,340.99,204.5,0.81,1206.44,316.55
1225.81,24842247.79,3.32,340.99,204.5,0.69,1214.52,267.06
1225.81,24842247.79,3.32,340.99,204.5,0.99,1216.26,302.32
1225.81,24842247.79,3.32,340.99,204.5,0.89,1225.62,286.08
1274.45,24595477.29,2.9,322.46,168.82,0.87,1261.76,271.08
1274.45,24595477.29,2.9,322.46,168.82,0.5,1269.1,272.62
1274.45,24595477.29,2.9,322.46,168.82,1.0,1266.94,289.29
1274.45,24595477.29,2.9,322.46,168.82,0.63,1274.22,307.64
1274.45,24595477.29,2.9,322.46,168.82,0.77,1254.68,293.74
1274.45,24595477.29,2.9,322.46,168.82,0.86,1261.06,316.19
1097.96,24284772.49,3.71,259.23,63.36,0.98,1084.5,282.76
1097.96,24284772.49,3.71,259.23,63.36,0.88,1081.13,264.36
1097.96,24284772.49,3.71,259.23,63.36,0.79,1090.5,279.17
1097.96,24284772.49,3.71,259.23,63.36,0.72,1085.19,305.85
1097.96,24284772.49,3.71,259.23,63.36,0.56,1094.35,316.34
1097.96,24284772.49,3.71,259.23,63.36,0.66,1097.7,292.03
1452.58,24983062.97,3.03,299.56,142.35,0.61,1437.36,282.67
1452.58,24983062.97,3.03,299.56,142.35,0.69,1444.21,311.65
1452.58,24983062.97,3.03,299.56,142.35,1.0,1433.94,279.31
1452.58,24983062.97,3.03,299.56,142.35,0.55,1447.81,294.87
1452.58,24983062.97,3.03,299.56,142.35,0.95,1451.61,303.1
1452.58,24983062.97,3.03,299.56,142.35,0.82,1442.24,267.75
1090.11,24100765.26,3.82,276.04,206.44,0.74,1074.49,283.67
1090.11,24100765.26,3.82,276.04,206.44,0.86,1078.97,300.21
1090.11,24100765.26,3.82,276.04,206.44,1.01,1082.63,309.61
1090.11,24100765.26,3.82,276.04,206.44,0.67,1084.78,264.74
1090.11,24100765.26,3.82,276.04,206.44,0.57,1088.89,295.11
1090.11,24100765.26,3.82,276.04,206.44,0.92,1072.48,279.85
1111.31,24506747.63,3.97,330.36,159.76,1.04,1093.47,299.97
1111.31,24506747.63,3.97,330.36,159.76,0.81,1105.13,288.12
1111.31,24506747.63,3.97,330.36,159.76,0.89,1110.81,271.11
1111.31,24506747.63,3.97,330.36,159.76,0.68,1097.98,291.6
1111.31,24506747.63,3.97,330.36,159.76,0.53,1104.11,279.99
1111.31,24506747.63,3.97,330.36,159.76,0.77,1096.73,315.32
1211.73,24776513.27,3.45,315.16,102.53,0.77,1211.37,270.11
1211.73,24776513.27,3.45,315.16,102.53,0.89,1203.64,293.77
1211.73,24776513.27,3.45,315.16,102.53,0.63,1192.45,286.31
1211.73,24776513.27,3.45,315.16,102.53,1.05,1200.21,274.83
1211.73,24776513.27,3.45,315.16,102.53,0.52,1207.07,307.88
1211.73,24776513.27,3.45,315.16,102.53,0.81,1197.28,309.93
1068.17,24331856.3,3.94,346.2,57.19,0.68,1057.87,307.39
1068.17,24331856.3,3.94,346.2,57.19,0.86,1063.76,297.45
1068.17,24331856.3,3.94,346.2,57.19,0.54,1049.71,288.78
1068.17,24331856.3,3.94,346.2,57.19,0.72,1058.91,275.0
1068.17,24331856.3,3.94,346.2,57.19,0.98,1053.78,315.15
1068.17,24331856.3,3.94,346.2,57.19,0.89,1067.53,267.82
1395.59,24135387.57,3.99,348.85,182.9,0.52,1383.14,267.95
1395.59,24135387.57,3.99,348.85,182.9,0.96,1379.39,316.42
1395.59,24135387.57,3.99,348.85,182.9,0.62,1394.25,303.45
1395.59,24135387.57,3.99,348.85,182.9,0.78,1375.98,298.72
1395.59,24135387.57,3.99,348.85,182.9,1.0,1390.55,272.88
1395.59,24135387.57,3.99,348.85,182.9,0.71,1388.59,281.65
1182.83,24617475.3,3.52,335.71,156.97,0.52,1178.13,265.17
1182.83,24617475.3,3.52,335.71,156.97,0.97,1163.77,306.44
1182.83,24617475.3,3.52,335.71,156.97,0.87,1168.78,293.28
1182.83,24617475.3,3.52,335.71,156.97,0.61,1175.3,312.79
1182.83,24617475.3,3.52,335.71,156.97,0.77,1172.37,274.3
1182.83,24617475.3,3.52,335.71,156.97,0.81,1182.56,285.85
1024.62,24910583.17,3.62,309.53,223.69,0.51,1009.39,304.12
1024.62,24910583.17,3.62,309.53,223.69,0.67,1005.16,263.37
1024.62,24910583.17,3.62,309.53,223.69,1.02,1020.18,273.71
1024.62,24910583.17,3.62,309.53,223.69,0.88,1021.67,297.11
1024.62,24910583.17,3.62,309.53,223.69,0.75,1012.11,287.34
1024.62,24910583.17,3.62,309.53,223.69,0.81,1016.25,315.13
1303.7,24210479.4,3.7,262.8,72.07,1.0,1303.49,318.09
1303.7,24210479.4,3.7,262.8,72.07,0.59,1300.22,271.56
1303.7,24210479.4,3.7,262.8,72.07,0.78,1289.76,288.89
1303.7,24210479.4,3.7,262.8,72.07,0.94,1283.9,293.83
1303.7,24210479.4,3.7,262.8,72.07,0.76,1296.63,306.35
1303.7,24210479.4,3.7,262.8,72.07,0.51,1293.35,275.69
1299.85,24171285.69,2.81,252.6,238.33,1.04,1296.47,290.04
1299.85,24171285.69,2.81,252.6,238.33,0.95,1290.69,269.45
1299.85,24171285.69,2.81,252.6,238.33,0.76,1299.06,304.39
1299.85,24171285.69,2.81,252.6,238.33,0.62,1286.16,298.0
1299.85,24171285.69,2.81,252.6,238.33,0.57,1280.44,277.53
1299.85,24171285.69,2.81,252.6,238.33,0.78,1288.87,316.11
1061.13,24875727.97,3.52,348.06,91.72,0.58,1047.76,276.69
